;adjusted close;adjusted close;adjusted close;adjusted close;adjusted close
ticker;AAPL;AMZN;MSFT;NFLX;TSLA
date;;;;;
2010-01-29;5.9165;125.41;22.0077;8.8928;
2010-02-26;6.3033;118.4;22.493;9.4357;
2010-03-31;7.2392;135.77;22.9775;10.5343;
2010-04-30;8.0429;137.1;23.9562;14.1286;
2010-05-28;7.9132;125.46;20.3334;15.8786;
2010-06-30;7.7484;109.26;18.1345;15.5214;
2010-07-30;7.9246;117.89;20.3413;14.65;3.988
2010-08-31;7.4887;124.83;18.5904;17.9314;3.896
2010-09-30;8.741;157.06;19.4025;23.1657;4.081
2010-10-29;9.2717;165.23;21.1257;24.7957;4.368
2010-11-30;9.585;175.4;20.1346;29.4143;7.066
2010-12-31;9.9365;180.0;22.2491;25.1;5.326
2011-01-31;10.4528;169.64;22.1016;30.5828;4.82
2011-02-28;10.8807;173.29;21.3146;29.5243;4.778
2011-03-31;10.7358;180.13;20.3603;33.9685;5.55
2011-04-29;10.7858;195.81;20.7854;33.2385;5.52
2011-05-31;10.7149;196.69;20.1865;38.6857;6.028
2011-06-30;10.3404;204.49;20.9856;37.5271;5.826
2011-07-29;12.0288;222.52;22.1156;37.9985;5.634
2011-08-31;11.8547;215.23;21.6054;33.5728;4.948
2011-09-30;11.7466;216.23;20.2164;16.1814;4.878
2011-10-31;12.4693;213.51;21.6297;11.7257;5.874
2011-11-30;11.7737;192.29;20.9323;9.2186;6.548
2011-12-30;12.4761;173.1;21.2432;9.8986;5.712
2012-01-31;14.0619;194.44;24.1646;17.1714;5.814
2012-02-29;16.7099;179.69;26.1448;15.8186;6.682
2012-03-30;18.4692;202.51;26.569;16.4343;7.448
2012-04-30;17.9896;231.9;26.3713;11.4486;6.626
2012-05-31;17.797;212.91;24.2035;9.0628;5.9
2012-06-29;17.9902;228.35;25.3643;9.7836;6.258
2012-07-31;18.8145;233.3;24.4356;8.1214;5.484
2012-08-31;20.5803;248.27;25.7246;8.5314;5.704
2012-09-28;20.638;254.32;24.8399;7.7771;5.856
2012-10-31;18.4172;232.8931;23.8216;11.3199;5.6263
2012-11-30;18.1926;252.05;22.4035;11.6728;6.764
2012-12-31;16.5418;250.87;22.4832;13.2271;6.774
2013-01-31;14.1582;265.5;23.1063;23.6057;7.502
2013-02-28;13.7979;264.27;23.5929;26.8685;6.966
2013-03-28;13.8373;266.49;24.276;27.04;7.578
2013-04-30;13.8411;253.81;28.0908;30.8671;10.798
2013-05-31;14.1524;269.2;29.8215;32.3214;19.552
2013-06-28;12.4781;277.69;29.5182;30.1557;21.472
2013-07-31;14.2403;301.22;27.2068;34.9263;26.856
2013-08-30;15.4333;280.98;28.7435;40.5585;33.8
2013-09-30;15.1017;312.64;28.6402;44.1728;38.674
2013-10-31;16.5573;364.03;30.4689;46.0685;31.988
2013-11-29;17.7174;393.62;33.0641;52.2571;25.456
2013-12-31;17.8751;398.79;32.4398;52.5957;30.0858
2014-01-31;15.9501;358.69;32.8126;58.4757;36.282
2014-02-28;16.8668;362.1;33.4688;63.6614;48.962
2014-03-31;17.2033;336.365;35.8101;50.2899;41.69
2014-04-30;18.9133;304.13;35.2947;46.0057;41.578
2014-05-30;20.4021;312.55;36.0142;59.6899;41.554
2014-06-30;20.9665;324.78;36.6827;62.9428;48.012
2014-07-31;21.5689;312.99;37.9671;60.3885;44.66
2014-08-29;23.2407;339.04;40.2108;68.2342;53.94
2014-09-30;22.8439;322.44;41.034;64.4542;48.536
2014-10-31;24.4877;305.46;41.5562;56.1099;48.34
2014-11-28;27.0826;338.64;42.5865;49.5128;48.904
2014-12-31;25.1356;310.35;41.3751;48.8014;44.482
2015-01-30;26.6795;354.53;35.9861;63.1142;40.72
2015-02-27;29.3674;380.16;39.337;67.8442;40.668
2015-03-31;28.4461;372.1;36.4709;59.5271;37.754
2015-04-30;28.6107;421.78;43.634;79.4999;45.21
2015-05-29;29.9071;429.23;42.3111;89.1513;50.16
2015-06-30;28.7926;434.09;39.8642;93.8485;53.652
2015-07-31;27.8456;536.15;42.1667;114.31;53.23
2015-08-31;26.0021;512.89;39.5531;115.03;49.812
2015-09-30;25.3541;511.89;40.1711;103.26;49.68
2015-10-30;27.5563;625.9;47.8418;108.38;41.386
2015-11-30;27.3969;664.8;49.7316;123.33;46.052
2015-12-31;24.377;675.89;50.7656;114.38;48.002
2016-01-29;22.5428;587.0;50.4087;91.84;38.24
2016-02-29;22.5128;552.52;46.8845;93.41;38.386
2016-03-31;25.3767;593.64;50.8929;102.23;45.954
2016-04-29;21.826;659.59;45.9538;90.03;48.152
2016-05-31;23.3931;722.79;49.1861;102.57;44.646
2016-06-30;22.3951;715.62;47.4878;91.48;42.456
2016-07-29;24.4121;758.81;52.6013;91.25;46.958
2016-08-31;24.9887;769.16;53.6594;97.45;42.402
2016-09-30;26.6255;837.31;53.7901;98.55;40.806
2016-10-31;26.7409;789.82;55.9567;124.87;39.546
2016-11-30;26.1647;750.57;56.647;117.0;37.88
2016-12-30;27.4195;749.87;58.4143;123.8;42.738
2017-01-31;28.7287;823.48;60.7738;140.71;50.386
2017-02-28;32.5709;845.04;60.5072;142.13;49.998
2017-03-31;34.1568;886.54;62.2852;147.81;55.66
2017-04-28;34.1544;924.99;64.744;152.2;62.814
2017-05-31;36.469;994.62;66.4202;163.07;68.202
2017-06-30;34.3825;968.0;65.5548;149.41;72.322
2017-07-31;35.5069;987.78;69.1402;181.66;64.694
2017-08-31;39.3112;980.6;71.4876;174.71;71.18
2017-09-29;36.943;961.35;71.2199;181.35;68.22
2017-10-31;40.5193;1105.28;79.5284;196.43;66.306
2017-11-30;41.3415;1176.75;80.8823;187.58;61.77
2017-12-29;40.7112;1169.47;82.1988;191.96;62.27
2018-01-31;40.2781;1450.89;91.2988;270.3;70.862
2018-02-28;43.0224;1512.45;90.524;291.38;68.612
2018-03-29;40.5249;1447.34;88.1106;295.35;53.226
2018-04-30;39.9162;1566.13;90.2827;312.46;58.78
2018-05-31;45.3106;1629.62;95.831;351.6;56.946
2018-06-29;44.8838;1699.8;95.608;391.43;68.59
2018-07-31;46.1398;1777.44;102.8506;337.45;59.628
2018-08-31;55.3878;2012.71;109.3352;367.68;60.332
2018-09-28;54.9279;2003.0;111.3209;374.13;52.954
2018-10-31;53.2539;1598.01;103.9624;301.78;67.464
2018-11-30;43.6049;1690.17;108.4066;286.13;70.096
2018-12-31;38.5163;1501.97;99.2953;267.66;66.56
2019-01-31;40.6406;1718.73;102.0913;339.5;61.404
2019-02-28;42.4602;1639.83;109.9913;358.1;63.976
2019-03-29;46.5799;1780.75;115.7937;356.56;55.972
2019-04-30;49.2087;1926.52;128.2233;370.54;47.738
2019-05-31;43.0986;1775.07;121.8725;343.28;37.032
2019-06-28;48.7238;1893.63;132.0023;367.32;44.692
2019-07-31;52.4461;1866.78;134.2785;322.99;48.322
2019-08-30;51.5844;1776.29;136.3117;293.75;45.122
2019-09-30;55.3481;1735.91;137.4685;267.62;48.174
2019-10-31;61.4742;1776.66;141.7598;287.41;62.984
2019-11-29;66.2395;1800.8;150.19;314.66;65.988
2019-12-31;72.7829;1847.84;156.4604;323.57;83.666
2020-01-31;76.7139;2008.72;168.8919;345.09;130.114
2020-02-28;67.917;1883.75;161.1742;369.03;133.598
2020-03-31;63.179;1949.72;156.8964;375.5;104.8
2020-04-30;72.9953;2474.0;178.2855;419.85;156.376
2020-05-29;79.2018;2442.37;182.8054;419.73;167.0
2020-06-30;90.8751;2758.82;203.0163;455.04;215.962
2020-07-31;105.8814;3164.68;204.5126;488.88;286.152
2020-08-31;128.8175;3450.96;225.53;529.56;498.32
2020-09-30;115.6103;3148.73;210.33;500.03;429.01
2020-10-30;108.6723;3036.15;202.47;475.74;388.04
2020-11-12;119.21;3110.28;215.44;486.77;411.76
